2024-09-21 18-09-56 top info:
Tasks: 625 total,   3 running, 434 sleeping,   0 stopped,   1 zombie  
Mem:   5792924k total,  5689248k used,   103676k free,     8264k buffers  
Swap:  2621436k total,   390132k used,  2231304k free,  1461052k cached  
800%cpu 159%user   3%nice  76%sys 538%idle  10%iow  10%irq   3%sirq   0%host  
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                         
   59 root         20   0    0    0    0 S  0.0   0.0   0:01.81 [ksoftirqd/6]
   58 root         RT   0    0    0    0 S  0.0   0.0   1:13.08 [migration/6]
   57 root         20   0    0    0    0 S  0.0   0.0   0:55.78 [cpuhp/6]
   56 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rcuob/5]
   55 root         20   0    0    0    0 S  0.0   0.0   0:03.15 [rcuos/5]
   54 root         20   0    0    0    0 S  0.0   0.0   0:23.20 [rcuop/5]
   53 root          0 -20    0    0    0 I  0.0   0.0   0:00.55 [kworker/5:0H]
   51 root         20   0    0    0    0 S  0.0   0.0   0:30.28 [ksoftirqd/5]
   50 root         RT   0    0    0    0 S  0.0   0.0   1:13.89 [migration/5]
   49 root         20   0    0    0    0 S  0.0   0.0   1:30.21 [cpuhp/5]
   48 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rcuob/4]
   47 root         20   0    0    0    0 S  0.0   0.0   0:22.45 [rcuos/4]
   46 root         20   0    0    0    0 S  0.0   0.0   1:32.02 [rcuop/4]
   43 root         20   0    0    0    0 S  0.0   0.0   0:25.85 [ksoftirqd/4]
   42 root         RT   0    0    0    0 S  0.0   0.0   1:04.87 [migration/4]
   41 root         20   0    0    0    0 S  0.0   0.0   1:29.23 [cpuhp/4]
   40 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rcuob/3]
   39 root         20   0    0    0    0 S  0.0   0.0   0:02.96 [rcuos/3]
   38 root         20   0    0    0    0 S  0.0   0.0   0:16.92 [rcuop/3]
   37 root          0 -20    0    0    0 I  0.0   0.0   0:00.52 [kworker/3:0H]
   35 root         20   0    0    0    0 S  0.0   0.0   0:22.09 [ksoftirqd/3]
   34 root         RT   0    0    0    0 S  0.0   0.0   0:54.17 [migration/3]
   33 root         20   0    0    0    0 S  0.0   0.0   1:26.48 [cpuhp/3]
   32 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rcuob/2]
   31 root         20   0    0    0    0 S  0.0   0.0   0:15.22 [rcuos/2]
   30 root         20   0    0    0    0 S  0.0   0.0   1:00.12 [rcuop/2]
   27 root         20   0    0    0    0 S  0.0   0.0   0:23.80 [ksoftirqd/2]
   26 root         RT   0    0    0    0 S  0.0   0.0   0:42.30 [migration/2]
   25 root         20   0    0    0    0 S  0.0   0.0   1:33.83 [cpuhp/2]
   24 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rcuob/1]
   23 root         20   0    0    0    0 S  0.0   0.0   0:08.06 [rcuos/1]
   22 root         20   0    0    0    0 S  0.0   0.0   0:45.28 [rcuop/1]
   19 root         20   0    0    0    0 S  0.0   0.0   2:37.53 [ksoftirqd/1]
   18 root         RT   0    0    0    0 S  0.0   0.0   0:28.22 [migration/1]
   17 root         20   0    0    0    0 S  0.0   0.0   2:05.11 [cpuhp/1]
   16 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/0]
   15 root         RT   0    0    0    0 S  0.0   0.0   1:29.79 [migration/0]
   14 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rcuob/0]
   13 root         20   0    0    0    0 S  0.0   0.0   0:45.27 [rcuos/0]
   12 root         20   0    0    0    0 S  0.0   0.0   2:44.55 [rcuop/0]
   11 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [rcu_bh]
   10 root         20   0    0    0    0 I  0.0   0.0   1:14.41 [rcu_sched]
    9 root         20   0    0    0    0 I  0.0   0.0   3:45.24 [rcu_preempt]
    8 root         20   0    0    0    0 S  0.0   0.0   3:25.16 [ksoftirqd/0]
    7 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mm_percpu_wq]
    3 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rcu_gp]
    2 root         20   0    0    0    0 S  0.0   0.0   0:01.03 [kthreadd]
    1 root         20   0  33M 3.1M 1.5M S  0.0   0.0   2:57.20 init


2024-09-21 18-10-03 top info:
Tasks: 625 total,   1 running, 436 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5667892k used,   125032k free,     8264k buffers
Swap:  2621436k total,   390132k used,  2231304k free,  1430712k cached
800%cpu 155%user   0%nice  52%sys 583%idle   0%iow  10%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
10797 u0_a201      10 -10  11G 1.3G 536M S  137  23.9  83:10.88 com.camelgames.aoz.debuglz4
18237 shell        20   0  12M 4.2M 3.2M R 17.2   0.0   0:00.06 top -b -n 1 -d 1
 1589 system       18  -2 4.7G 296M 296M S 10.3   5.2 154:15.06 system_server
  720 system       -2   0 2.1G  27M  20M S 10.3   0.4  52:08.11 surfaceflinger
  717 audioserver  20   0 167M 7.7M 4.0M S 10.3   0.1  27:02.34 audioserver
  678 system       RT   0  59M 5.2M 4.1M S 10.3   0.0  34:11.43 android.hardware.sensors@1.0-service
14432 root         20   0    0    0    0 I  6.8   0.0   0:28.96 [kworker/u16:9]
  682 wifi         20   0  26M 8.5M 4.2M S  6.8   0.1  11:12.31 android.hardware.wifi@1.0-service
  671 system       -3   0  56M 9.4M 6.7M S  6.8   0.1  15:58.41 android.hardware.graphics.composer@2.2-service
  661 audioserver  20   0  44M 4.4M 2.3M S  6.8   0.0  18:56.36 android.hardware.audio@2.0-service
 6527 root         20   0    0    0    0 I  3.4   0.0   1:04.17 [kworker/u16:5]
 8283 root         19  -1    0    0    0 S  3.4   0.0   1:36.36 [cds_ol_rx_threa]
 2568 system       20   0  17M 5.1M 3.1M S  3.4   0.0  68:08.10 cnss_diag -q -f
  442 root         RT   0    0    0    0 S  3.4   0.0   7:38.66 [crtc_commit:110]
  242 root         -3   0    0    0    0 S  3.4   0.0  11:37.18 [kgsl_worker_thr]
18158 root          0 -20    0    0    0 I  0.0   0.0   0:00.01 [kworker/4:2H]
18107 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:1H]
18043 updater      20   0 4.2G 111M  90M S  0.0   1.9   0:00.80 com.android.updater
18014 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/4:1]
17918 root          0 -20    0    0    0 I  0.0   0.0   0:00.01 [kworker/1:1H]
17890 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:4]
17889 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:3]
17767 root          0 -20    0    0    0 I  0.0   0.0   0:00.05 [kworker/0:2H]
17509 root         20   0    0    0    0 I  0.0   0.0   0:00.26 [kworker/0:1]
17413 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:2]
17139 u0_a189      20   0 4.2G  90M  71M S  0.0   1.5   0:00.24 com.google.process.gservices
17103 u0_a189      20   0 4.6G 182M 156M S  0.0   3.2   0:02.13 com.google.android.gms.unstable
17073 root         20   0    0    0    0 S  0.0   0.0   0:00.06 [kworker/u16:11]
17072 root         20   0    0    0    0 I  0.0   0.0   0:04.10 [kworker/u16:10]
17071 root         20   0    0    0    0 I  0.0   0.0   0:11.17 [kworker/u16:8]
17056 system       20   0 4.3G 156M 128M S  0.0   2.7   0:00.69 com.android.settings
17055 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:3]
17034 root         20   0    0    0    0 I  0.0   0.0   0:06.57 [kworker/u16:3]
17029 root          0 -20    0    0    0 I  0.0   0.0   0:00.06 [kworker/4:0H]
17023 root         20   0    0    0    0 I  0.0   0.0   0:01.53 [kworker/1:2]
17005 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:4]
16989 root          0 -20    0    0    0 I  0.0   0.0   0:00.13 [kworker/0:1H]
16981 root          0 -20    0    0    0 I  0.0   0.0   0:00.15 [kworker/1:0H]
16869 root         20   0    0    0    0 I  0.0   0.0   0:00.29 [kworker/0:0]
16830 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:0]
16803 root         20   0    0    0    0 I  0.0   0.0   0:00.06 [kworker/7:1]
16621 root          0 -20    0    0    0 I  0.0   0.0   0:00.13 [kworker/1:2H]
16527 root         20   0    0    0    0 I  0.0   0.0   0:00.59 [kworker/1:0]
16526 root         20   0    0    0    0 I  0.0   0.0   0:00.10 [kworker/6:2]
16397 root          0 -20    0    0    0 I  0.0   0.0   0:00.18 [kworker/0:0H]
16337 root         20   0    0    0    0 I  0.0   0.0   0:00.24 [kworker/4:3]
16278 root          0 -20    0    0    0 I  0.0   0.0   0:00.05 [kworker/6:0H]
16235 root         20   0    0    0    0 I  0.0   0.0   0:00.03 [kworker/4:2]
15588 root         20   0    0    0    0 I  0.0   0.0   0:01.08 [kworker/0:2]
14798 root          0 -20    0    0    0 I  0.0   0.0   0:00.18 [kworker/4:1H]
14445 root         20   0    0    0    0 I  0.0   0.0   0:01.87 [kworker/1:4]
13163 system       20   0 4.2G 114M  92M S  0.0   2.0   0:00.33 com.android.settings:remote
12449 u0_a163      20   0 4.2G  97M  76M S  0.0   1.7   0:00.24 com.miui.weather2
12221 root         20   0  10M 3.2M 2.5M S  0.0   0.0   0:00.80 ip6tables-restore --noflush -w -v
12220 root         20   0  10M 3.4M 2.7M S  0.0   0.0   0:01.51 iptables-restore --noflush -w -v
11583 u0_a116      20   0 4.3G 109M  86M S  0.0   1.9   0:15.69 com.miui.guardprovider
11040 u0_a28       20   0 4.2G 107M  87M S  0.0   1.8   0:01.89 com.android.camera
 9920 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0H]
 9611 u0_a192      20   0 4.4G 182M 138M S  0.0   3.2   0:09.79 com.android.vending
 9557 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0]
 9536 root          0 -20    0    0    0 I  0.0   0.0   0:03.13 [kworker/u17:1]
 9225 root          0 -20    0    0    0 I  0.0   0.0   0:00.29 [kworker/2:1H]
 8213 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2H]
 8179 u0_a189      20   0 4.2G  96M  76M S  0.0   1.6   0:00.37 com.google.process.gapps
 7953 root         20   0    0    0    0 I  0.0   0.0   0:00.03 [kworker/3:0]
 7665 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/5:1]
 6587 root         20   0    0    0    0 I  0.0   0.0   0:00.32 [kworker/2:1]
 2121 root         20   0    0    0    0 I  0.0   0.0   0:00.06 [kworker/5:3]
32737 root         20   0    0    0    0 I  0.0   0.0   0:00.48 [kworker/3:2]
27969 u0_a31       20   0 4.3G 127M 104M S  0.0   2.2   0:14.17 android.process.media
27692 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dsi_err_workq]
11568 u0_a189      20   0 7.0G 224M 224M S  0.0   3.9   2:38.20 com.google.android.gms.persistent
 8284 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [wmi_rx_event_wo]
 8282 root         18  -2    0    0    0 S  0.0   0.0   0:34.98 [scheduler_threa]
 8278 wifi         20   0 2.0G  10M 7.7M S  0.0   0.1   0:05.93 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -puse_p2p_group_interface=1 -dd -g@android:vendor_wpa_wlan0
32760 u0_a130      20   0 4.3G 167M 129M S  0.0   2.9   0:03.71 com.sohu.inputmethod.sogou.xiaomi
 6821 root          0 -20    0    0    0 I  0.0   0.0   0:00.21 [kworker/6:2H]
 6252 root          0 -20    0    0    0 I  0.0   0.0   0:00.76 [kworker/7:0H]
 5536 root          0 -20    0    0    0 I  0.0   0.0   0:00.32 [kworker/7:1H]
 4064 u0_a189      20   0 4.8G 201M 175M S  0.0   3.5   2:13.33 com.google.android.gms
18188 theme        20   0 4.2G 100M  79M S  0.0   1.7   0:03.76 com.android.thememanager
 3528 u0_a117      20   0 4.3G  98M  84M S  0.0   1.7   0:19.62 com.miui.systemAdSolution
27195 u0_a63       20   0 4.2G  79M  63M S  0.0   1.3   0:00.23 com.miui.player:stat
27122 u0_a63       20   0 4.3G  97M  78M S  0.0   1.7   0:18.80 com.miui.player
26719 u0_a91       30  10 4.4G  99M  99M S  0.0   1.7   2:50.34 com.xiaomi.market
26395 u0_a90       20   0 4.2G 100M  81M S  0.0   1.7   0:01.07 com.miui.securityinputmethod
23850 system       20   0 4.2G  88M  72M S  0.0   1.5   0:00.67 com.miui.cleanmaster:cmsdk
 7015 system       20   0 4.2G  75M  61M S  0.0   1.3   0:01.55 com.miui.wmsvc
 6503 u0_a143      20   0 4.9G 281M 209M S  0.0   4.9   4:29.33 com.tencent.mm
 6326 u0_a143      20   0 4.8G 166M 128M S  0.0   2.9   4:35.58 com.tencent.mm:push
 6129 mdnsr        20   0 5.6M 1.2M 548K S  0.0   0.0   3:59.34 mdnsd
 6110 system       20   0 4.2G  82M  65M S  0.0   1.4   0:11.97 com.xiaomi.mi_connect_service
 6039 system       20   0 4.2G  81M  62M S  0.0   1.4   0:20.21 com.qualcomm.qti.workloadclassifier
 6007 system       20   0 4.2G  71M  56M S  0.0   1.2   0:05.90 com.qualcomm.qti.smcinvokepkgmgr
 5958 radio        20   0 4.2G  75M  60M S  0.0   1.3   0:00.26 com.qualcomm.qti.autoregistration
 5850 system       20   0 4.2G  97M  76M S  0.0   1.7   0:10.53 com.miui.notification:remote
 5791 u0_a47       20   0 4.2G  88M  72M S  0.0   1.5   0:06.07 com.miui.mishare.connectivity
 5546 system       20   0 4.2G  97M  78M S  0.0   1.7   0:02.83 com.xiaomi.joyose
 3775 system       20   0  10M 2.2M 2.1M S  0.0   0.0   0:05.61 subsystem_ramdump 2 0 0
 3331 u0_a45       20   0 4.2G 101M  80M S  0.0   1.7   0:04.24 com.lbe.security.miui
 3277 u0_a98       20   0 4.2G 107M  86M S  0.0   1.8   0:33.90 com.miui.analytics
 3227 u0_a81       20   0 4.3G  99M  80M S  0.0   1.7   0:12.69 com.miui.hybrid
 3181 system       20   0 4.2G  93M  75M S  0.0   1.6   0:18.51 com.xiaomi.location.fused
 3164 u0_a80       20   0 4.3G  98M  80M S  0.0   1.7   0:29.22 com.xiaomi.metoknlp
 3001 u0_a119      20   0 4.2G 104M  85M S  0.0   1.8   0:37.16 com.xiaomi.xmsf
 2990 system       20   0 4.3G  95M  95M S  0.0   1.6   2:01.61 com.miui.securitycenter.remote
 2975 system       20   0 4.3G 104M  95M S  0.0   1.8   1:37.89 com.miui.powerkeeper
 2935 u0_a123      20   0 4.2G  70M  51M S  0.0   1.2   0:00.10 com.android.smspush
 2883 u0_a172      20   0 5.2G  74M  74M S  0.0   1.3   5:36.44 com.tencent.mobileqq:MSF
 2843 system       20   0 4.2G  76M  56M S  0.0   1.3   0:00.17 com.miui.face
 2822 system       20   0 4.2G  72M  53M S  0.0   1.2   0:00.17 com.qualcomm.qti.services.secureui:sui_service
 2810 system       20   0 4.2G  70M  51M S  0.0   1.2   0:00.11 com.tencent.soter.soterserver
 2793 finddevice   20   0 4.3G  85M  78M S  0.0   1.5   0:20.77 com.xiaomi.finddevice
 2775 u0_a105      20   0 4.2G  73M  54M S  0.0   1.2   0:00.11 com.xiaomi.xmsfkeeper
 2760 radio        20   0 4.2G  72M  56M S  0.0   1.2   0:03.97 com.longcheertel.smsregister
 2747 u0_a25       20   0 4.2G  76M  55M S  0.0   1.3   0:00.19 com.xiaomi.mircs
 2728 secure_element 20 0 4.2G  73M  54M S  0.0   1.2   0:00.14 com.android.se
 2713 system       20   0 4.2G 101M  85M S  0.0   1.7   0:28.25 com.miui.daemon
 2695 system       20   0 4.2G  86M  65M S  0.0   1.5   0:00.93 com.miui.contentcatcher
 2673 system       20   0 4.2G  73M  54M S  0.0   1.2   0:00.14 com.goodix.fingerprint
 2622 system       20   0  34M 4.0M 2.4M S  0.0   0.0   0:11.77 ims_rtp_daemon
 2608 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/67-90cd000.]
 2606 root         RT   0    0    0    0 S  0.0   0.0   5:46.73 [irq/66-90b6300.]
 2570 root         20   0  17M 6.1M 4.8M S  0.0   0.1   0:51.21 tcpdump -i any -W 2 -C 2 -s 134 -w /data/vendor/wlan_logs/tcpdump.pcap
 2539 shell        20   0  57M 1.0M 1.0M S  0.0   0.0  19:34.30 adbd --root_seclabel=u:r:su:s0
 2533 system       20   0  25M 4.9M 3.8M S  0.0   0.0   0:00.28 mcd
 2531 system       20   0  11M 3.5M 2.8M S  0.0   0.0   2:48.27 charge_logger
 2317 radio        20   0 4.2G  68M  57M S  0.0   1.2   3:31.66 com.qualcomm.qcrilmsgtunnel
 2296 u0_a42       20   0 4.2G  84M  65M S  0.0   1.4   0:09.38 android.ext.services
 2220 u0_a26       20   0 8.6G 166M 130M S  0.0   2.9   0:57.98 com.miui.home
 2197 radio        20   0 4.3G 100M 100M S  0.0   1.7  27:29.88 com.android.phone
 2191 u0_a67       20   0 4.2G  77M  62M S  0.0   1.3   0:00.20 se.dirac.acs
 2178 radio        20   0 4.2G  60M  60M S  0.0   1.0   1:18.54 com.qualcomm.qti.telephonyservice
 2163 system       20   0 4.2G  83M  69M S  0.0   1.4   0:23.55 .dataservices
 1920 webview_zygote 20 0 1.6G  23M  21M S  0.0   0.4   0:04.13 webview_zygote
 1851 system       20   0 4.5G 269M 151M S  0.0   4.7   7:07.38 com.android.systemui
 1364 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [iparepwq35]
 1363 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipawq35]
 1362 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [iparepwq34]
 1361 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipawq34]
 1137 cameraserver 20   0    0    0    0 Z  0.0   0.0   0:00.00 [android.hardwar]
 1118 root         20   0    0    0    0 S  0.0   0.0   0:12.72 [qrtr_rx]
 1117 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [glink_modem]
 1108 radio        20   0  15M 1.9M 1.9M S  0.0   0.0   0:10.52 port-bridge
 1105 radio        20   0 131M 3.4M 3.4M S  0.0   0.0   5:17.19 netmgrd
 1100 radio        20   0  22M 1.9M 1.9M S  0.0   0.0   0:11.84 qti
 1097 radio        20   0 139M 8.1M 8.1M S  0.0   0.1  46:16.45 qcrild -c 2
 1083 radio        20   0  21M 3.5M 3.3M S  0.0   0.0   0:23.57 ipacm
 1078 radio        20   0  13M 2.0M 2.0M S  0.0   0.0   0:04.17 ipacm-diag
 1070 radio        20   0 129M 7.7M 7.7M S  0.0   0.1   2:56.47 qcrild
 1062 root         20   0  11M 3.2M 3.0M S  0.0   0.0   3:35.39 msm_irqbalance -f /system/vendor/etc/msm_irqbalance.conf
 1035 system       20   0  22M 3.2M 3.2M S  0.0   0.0   0:08.14 ATFWD-daemon
 1034 system       20   0 2.0G 3.7M 3.7M S  0.0   0.0   0:38.93 imsdatadaemon
 1032 system       20   0  20M 3.4M 3.2M S  0.0   0.0   0:00.29 dpmd
 1029 gps          20   0  30M 3.6M 3.6M S  0.0   0.0   0:12.56 xtra-daemon
 1027 gps          20   0 2.0G 3.7M 3.1M S  0.0   0.0   0:19.50 lowi-server
  960 system       20   0  25M 3.0M 3.0M S  0.0   0.0   0:06.28 android.hardware.biometrics.fingerprint@2.1-service
  953 tombstoned   20   0  10M 1.8M 1.8M S  0.0   0.0   0:00.00 tombstoned
  947 system       20   0  13M 2.1M 2.1M S  0.0   0.0   0:12.67 qvrservice
  944 system       20   0 2.0G 4.1M 4.1M S  0.0   0.0   0:00.05 gatekeeperd /data/misc/gatekeeper
  942 root         20   0  15M 3.6M 3.5M S  0.0   0.0   0:00.06 dpmd
  937 system       20   0  11M 2.9M 2.9M S  0.0   0.0   0:03.92 seemp_healthd
  934 gps          20   0  16M 1.9M 1.9M S  0.0   0.0   0:04.57 loc_launcher
  933 system       20   0  27M 2.1M 2.1M S  0.0   0.0   0:18.76 qdmastatsd
  930 gps          20   0  15M 3.0M 3.0M S  0.0   0.0   0:10.40 mlid
  926 system       20   0  25M 0.9M 0.9M S  0.0   0.0   0:57.47 ssgtzd
  921 radio        20   0 4.9M 944K 944K S  0.0   0.0   0:07.10 ssgqmigd
  920 system       20   0  29M 3.2M 3.2M S  0.0   0.0   0:14.66 cnss-daemon -n -l
  917 system       20   0  10M 1.7M 1.7M S  0.0   0.0   0:00.02 wifidisplayhalservice
  916 mediacodec   20   0  60M 7.7M 4.6M S  0.0   0.1  25:56.89 media.codec hw/android.hardware.media.omx@1.0-service
  915 wifi         20   0  18M 4.4M 3.9M S  0.0   0.0   1:04.25 wificond
  913 root         30  10  23M 5.2M 3.6M S  0.0   0.0   0:05.42 storaged
  912 statsd       20   0  22M 3.8M 3.6M S  0.0   0.0   1:12.17 statsd
  911 system       20   0  24M 4.1M 3.8M S  0.0   0.0   0:03.18 perfservice
  910 root         20   0  25M 3.0M 3.0M S  0.0   0.0   0:10.42 miuibooster
  908 media        20   0  64M 5.4M 3.9M S  0.0   0.0   0:01.13 mediaserver
  907 media        20   0 2.0G 7.6M 7.4M S  0.0   0.1   0:00.30 media.metrics diametrics
  906 mediaex      20   0 2.1G  16M  10M S  0.0   0.2   0:03.78 media.extractor aextractor
  905 media        20   0  11M 1.9M 1.9M S  0.0   0.0   0:00.04 mediadrmserver
  904 keystore     20   0 2.0G 5.6M 4.9M S  0.0   0.0   0:01.52 keystore /data/misc/keystore
  901 root         20   0  26M 5.5M 3.9M S  0.0   0.0   0:18.53 installd
  895 incidentd    20   0  19M 3.1M 3.1M S  0.0   0.0   0:00.02 incidentd
  885 drm          20   0  25M 2.7M 2.7M S  0.0   0.0   0:00.15 drmserver
  880 cameraserver 20   0  39M 2.8M 2.8M S  0.0   0.0   0:00.68 cameraserver
  874 root         20   0  16M 2.9M 2.9M S  0.0   0.0   0:00.02 fdpp daemon
  873 system       20   0 2.0G  10M  10M S  0.0   0.1   0:00.52 shelld
  872 system       20   0  16M 2.9M 2.9M S  0.0   0.0   0:00.02 smcinvoked
  871 root         20   0  24M 2.2M 2.1M S  0.0   0.0   5:10.16 hvdcp_opti
  862 system       20   0  16M 3.0M 3.0M S  0.0   0.0   0:08.30 imsqmidaemon
  861 system       20   0  15M 2.8M 2.8M S  0.0   0.0   0:11.07 cdsprpcd
  858 media        20   0  15M 2.8M 2.8M S  0.0   0.0   0:11.31 adsprpcd audiopd
  856 root          0 -20    0    0    0 I  0.0   0.0   0:03.28 [kworker/5:1H]
  854 media        20   0  15M 2.7M 2.7M S  0.0   0.0   0:11.44 adsprpcd
  853 root          0 -20  77M 3.4M 3.4M S  0.0   0.0   6:11.59 thermal-engine
  851 media        20   0  16M 3.0M 3.0M S  0.0   0.0   0:00.03 vppservice
  850 system       20   0  23M 3.1M 3.1M S  0.0   0.0   0:17.00 time_daemon
  848 system       20   0  19M 3.4M 3.4M S  0.0   0.0   0:00.03 dpmQmiMgr
  847 system       20   0 2.0G 5.3M 4.8M S  0.0   0.0   0:40.17 cnd
  834 system       20   0  19M 2.9M 2.9M S  0.0   0.0   0:00.01 pm-proxy
  829 root         20   0    0    0    0 S  0.0   0.0   0:53.24 [wlan_logging_th]
  828 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cds_recovery_wo]
  818 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/457-swr_wak]
  810 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/226-arm-smm]
  795 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/445-swr_mas]
  794 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/444-swr_mas]
  782 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qdss_mdm]
  780 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qdss]
  779 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [at_usb1]
  778 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [at_usb0]
  773 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [f_mtp]
  768 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/270-arm-smm]
  767 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [adsp]
  766 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [adsp]
  762 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [modem]
  742 system       20   0  23M 2.5M 2.5M S  0.0   0.0   0:00.02 sensors.qti
  730 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/269-arm-smm]
  721 system       20   0  16M 3.1M 3.1M S  0.0   0.0   0:00.02 thermalserviced
  718 root         -2   0  10M 2.4M 2.0M S  0.0   0.0   2:12.05 lmkd
  715 system       20   0  15M 2.7M 2.7M S  0.0   0.0   0:11.76 adsprpcd sensorspd
  714 system       20   0  26M 3.0M 3.0M S  0.0   0.0   0:05.14 pm-service
  713 system       20   0  18M 2.0M 2.0M S  0.0   0.0   0:04.83 pd-mapper
  709 vendor_rfs   20   0  13M 3.1M 2.9M S  0.0   0.0   0:08.79 tftp_server
  708 nobody       20   0  19M 2.1M 2.0M S  0.0   0.0   0:31.90 rmt_storage
  706 vendor_qrtr  20   0  10M 1.8M 1.8M S  0.0   0.0   0:08.80 qrtr-ns -f
  704 system       20   0 7.7M 872K 872K S  0.0   0.0   0:00.02 vsimd
  703 system       20   0  20M 3.4M 3.2M S  0.0   0.0   0:00.05 vendor.xiaomi.hardware.touchfeature@1.0-service
  702 system       20   0  16M 3.1M 3.1M S  0.0   0.0   0:00.01 tidad@1.1
  701 root         20   0  24M 4.1M 3.5M S  0.0   0.0   0:11.44 mtd@1.2
  700 system       20   0  18M 3.6M 3.4M S  0.0   0.0   0:00.27 mlipayd@1.1
  699 system       20   0  14M 3.1M 3.1M S  0.0   0.0   0:00.02 vendor.xiaomi.hardware.misys@2.0-service
  698 system       20   0  18M 3.3M 3.3M S  0.0   0.0   0:00.01 vendor.xiaomi.hardware.misys@1.0-service
  697 system       20   0  18M 3.3M 3.3M S  0.0   0.0   0:00.10 fidoca
  696 system       20   0  13M 3.4M 3.3M S  0.0   0.0   0:00.01 vendor.qti.hardware.tui_comm@1.0-service-qti
  695 system       20   0  14M 3.2M 3.2M S  0.0   0.0   0:00.05 vendor.qti.hardware.soter@1.0-service
  694 system       20   0  21M 3.6M 3.6M S  0.0   0.0   0:00.02 vendor.qti.hardware.sensorscalibrate@1.0-service
  693 system       20   0  18M 1.6M 1.6M S  0.0   0.0   0:00.03 vendor.qti.hardware.scve.panorama@1.0-service
  692 system       20   0  17M 1.5M 1.5M S  0.0   0.0   0:00.01 vendor.qti.hardware.scve.objecttracker@1.0-service
  691 system       20   0  15M 3.2M 3.2M S  0.0   0.0   0:00.01 vendor.qti.hardware.qteeconnector@1.0-service
  690 system       20   0  15M 3.1M 3.1M S  0.0   0.0   0:00.01 vendor.qti.hardware.qdutils_disp@1.0-service-qti
  689 root         20   0  28M 6.1M 4.5M S  0.0   0.1   0:11.68 vendor.qti.hardware.perf@1.0-service
  688 root         20   0  23M 4.5M 4.1M S  0.0   0.0   0:00.14 vendor.qti.hardware.iop@2.0-service
  687 system       20   0  22M 4.4M 3.8M S  0.0   0.0   0:05.41 vendor.qti.hardware.display.allocator@1.0-service
  686 system       20   0  14M 3.3M 3.3M S  0.0   0.0   0:00.05 vendor.qti.hardware.alarm@1.0-service
  685 gps          20   0  44M 4.0M 3.6M S  0.0   0.0   0:17.48 vendor.qti.gnss@2.1-service
  684 system       20   0  13M 3.3M 3.3M S  0.0   0.0   0:00.02 vendor.qti.esepowermanager@1.0-service
